startterminal hour startcount endcount
31040 6 54 6
31041 6 3 1
31042 6 12 4
31043 6 12 5
31044 6 3 2
31045 6 2 3
31046 6 3 4
31047 6 12 7
31048 6 6 8
31100 6 103 117
31101 6 639 402
31102 6 391 46
31103 6 572 133
31104 6 758 215
31105 6 698 410
31106 6 296 401
31107 6 601 41
31108 6 453 253
31109 6 268 120
31110 6 265 308
31111 6 347 221
31112 6 38 27
31113 6 755 59
31115 6 130 30
31116 6 473 149
31200 6 371 909
31201 6 586 595
31202 6 500 80
31203 6 648 150
31204 6 152 143
31205 6 120 369
31206 6 3 350
31207 6 175 9
31208 6 60 629
31209 6 8 68
31211 6 12 103
31212 6 265 532
31213 6 141 514
31214 6 1100 246
31215 6 19 102
31216 6 68 300
31217 6 226 489
31218 6 706 331
31219 6 40 325
31220 6 65 1116
31221 6 22 214
31222 6 52 196
31223 6 464 97
31224 6 50 119
31225 6 50 225
31226 6 71 216
31227 6 44 537
31228 6 128 415
31229 6 951 348
31230 6 54 318
31231 6 192 332
31232 6 221 572
31233 6 87 288
31234 6 194 77
31235 6 30 304
31236 6 21 100
31237 6 180 146
31238 6 123 322
31239 6 379 534
31240 6 22 42
31241 6 359 338
31242 6 61 229
31243 6 242 382
31244 6 101 572
31245 6 345 145
31246 6 68 180
31247 6 156 114
31248 6 73 74
31249 6 57 69
31250 6 65 82
31251 6 198 34
31252 6 4 88
31253 6 12 34
31254 6 14 148
31255 6 98 191
31256 6 11 82
31257 6 89 267
31258 6 5 14
31300 6 287 36
31301 6 55 98
31302 6 109 19
31303 6 151 45
31304 6 48 23
31305 6 64 81
31306 6 250 7
31307 6 198 57
31400 6 485 38
31401 6 116 11
31402 6 159 11
31404 6 142 3
31500 6 160 14
31502 6 14 33
31503 6 261 57
31504 6 187 5
31505 6 83 16
31506 6 662 43
31507 6 15 352
31508 6 17 19
31600 6 440 166
31601 6 79 33
31602 6 497 166
31603 6 130 232
31604 6 324 71
31605 6 185 281
31606 6 241 23
31607 6 222 110
31608 6 44 399
31609 6 80 52
31610 6 412 171
31611 6 345 43
31612 6 667 75
31613 6 233 435
31614 6 451 86
31615 6 199 55
31616 6 453 77
31617 6 349 138
31618 6 322 96
31619 6 874 52
31620 6 100 253
31621 6 58 328
31622 6 581 35
31623 6 1623 1780
31624 6 624 532
31625 6 301 327
31626 6 458 10
31628 6 316 131
31703 6 2 17
31705 6 2 3
31706 6 2 1
31707 6 95 1
31708 6 17 7
31801 6 1 4
31802 6 9 14
31804 6 5 1
31805 6 10 6
31000 7 80 10
31001 7 159 96
31002 7 530 173
31003 7 108 57
31004 7 146 6
31005 7 71 4
31006 7 146 18
31007 7 633 553
31008 7 208 61
31009 7 148 608
31010 7 108 31
31011 7 130 220
31012 7 29 138
31013 7 135 53
31014 7 340 1002
31015 7 288 485
31016 7 54 30
31017 7 141 348
31018 7 313 24
31019 7 90 36
31020 7 90 191
31021 7 53 31
31022 7 86 85
31023 7 95 69
31024 7 195 175
31025 7 120 33
31026 7 35 7
31027 7 151 5
