fips	june2011	dec2012
51047	0.7711	0.7674
51049	0.4652	0.4627
51051	0.3339	0.3475
51053	0.6489	0.6226
51057	0.7271	0.9000
51059	0.9986	0.9989
51061	0.7423	0.7430
51063	0.8975	0.8615
51065	0.8773	0.8797
51067	0.7965	0.7638
51069	0.7700	0.8022
51071	0.3485	0.6100
51073	0.8738	0.9115
51075	0.4869	0.5132
51077	0.9934	0.9937
51079	0.8880	0.8410
51081	0.4696	0.5069
51083	0.6317	0.5423
51085	0.9154	0.9164
51087	0.9961	0.9961
51089	0.9359	0.9529
51091	0.5136	0.6261
51093	0.9054	0.9187
51095	0.9799	0.9891
51097	0.2473	0.2084
51099	0.9139	0.9409
51101	0.7377	0.6919
51103	0.8758	0.9901
51105	0.7921	0.8007
51107	0.9767	0.9779
51109	0.3192	0.3075
51111	0.5634	0.4908
51113	0.4408	0.4494
51115	0.8300	0.9955
51117	0.8138	0.5496
51119	0.8734	0.9814
51121	0.9157	0.9220
51125	0.3691	0.4035
51127	0.8031	0.8469
51131	0.8490	0.8562
51133	0.9249	0.8961
51135	0.6789	0.6639
51137	0.7722	0.7732
51139	0.8478	0.8488
51141	0.8414	0.7634
51143	0.6449	0.6479
51145	0.8695	0.8710
51147	0.7902	0.7357
51149	0.9273	0.9231
51153	0.9938	0.9937
51155	0.8213	0.8393
51157	0.4246	0.4606
51159	0.5789	0.9211
51161	0.9018	0.9411
51163	0.7148	0.6699
51165	0.8553	0.8663
51167	0.4624	0.5716
51169	0.8307	0.9158
51171	0.9431	0.9364
51173	0.8646	0.8768
51175	0.6681	0.6700
51177	0.9451	0.9556
51179	0.9849	0.9898
51181	0.0387	0.0386
51183	0.5497	0.5266
51185	0.8451	0.8524
51187	0.9326	0.9474
51191	0.8806	0.9057
51193	0.8803	0.9549
51195	0.8006	0.8249
51197	0.8475	0.8689
51199	0.9972	0.9958
51510	1.0000	1.0000
51515	0.9990	0.9990
51520	0.9975	0.9972
51530	0.9983	0.9943
51540	0.9997	0.9995
51550	0.9828	0.9821
51570	0.9969	0.9843
