lon	lat	zip
-77.126	36.439	27855
-85.373	32.550	36804
-89.256	43.588	53954
-117.760	34.051	91766
-85.232	35.005	37412
-87.620	45.107	49858
-82.800	39.953	43068
-89.867	31.604	39474
-104.820	38.852	80903
-86.665	33.541	35210
-74.127	40.856	7055
-102.902	30.889	79735
-93.532	41.620	50317
-74.486	40.433	8902
-87.408	34.682	35672
-96.637	32.970	75044
-85.222	33.763	30176
-95.156	29.781	77015
-88.044	41.530	60432
-97.935	29.855	78666
-75.223	39.939	19143
-90.345	40.953	61401
-76.005	40.333	19609
-90.652	38.579	63040
-98.305	40.931	68801
-122.446	47.255	98401
-117.714	34.019	91710
-114.757	42.602	83316
-86.511	36.182	37122
-82.562	38.903	45656
-89.174	30.496	39503
-90.751	40.553	61475
-119.486	35.887	93201
-84.337	34.013	30075
-117.898	33.836	92805
-81.895	28.827	34748
-80.691	41.173	44420
-112.252	33.502	85037
-94.159	36.185	72764
-93.193	30.205	70601
-89.998	29.905	70131
-89.942	34.516	38619
-117.189	32.988	92067
-71.406	42.425	1776
-74.502	40.380	8810
-90.461	42.740	53818
-74.246	40.312	7746
-73.958	40.783	10128
-94.603	39.060	64111
-112.000	40.669	84120
-90.138	31.127	39667
-122.190	37.447	94025
-91.219	43.793	54601
-97.528	35.524	73118
-83.714	42.301	48105
-95.151	29.582	77062
-84.919	45.362	49770
-93.295	45.005	55413
-77.411	34.812	28546
-120.554	38.074	95222
-81.992	28.091	33810
-89.359	32.413	39092
-119.086	43.563	97738
-80.036	40.485	15212
-93.028	45.003	55109
-83.087	34.676	29693
-88.330	36.430	38251
-90.605	40.322	61440
-95.111	38.928	66025
-80.383	27.340	34986
-84.670	34.015	30152
-88.698	41.324	61341
-82.096	35.052	29349
-70.973	42.464	1905
-73.987	40.606	11214
-84.527	39.049	41011
-87.434	46.558	49855
-95.804	29.511	77469
-86.062	39.686	46237
-109.071	44.519	82414
-91.817	29.999	70560
-71.468	42.768	3060
-96.810	33.068	75024
-122.039	37.321	95015
-121.854	37.655	94566
-119.150	34.218	93036
-85.556	30.764	32428
-73.557	40.675	11566
-87.964	34.765	35616
-75.358	40.142	19403
-115.069	36.130	89121
-93.282	44.990	55401
-113.634	39.075	84728
-85.810	42.025	49067
-122.036	37.542	94560
-73.919	40.697	11237
-81.004	29.106	32127
-118.115	34.168	91104
-75.341	40.119	19401
-106.550	35.127	87111
-87.823	41.818	60534
-157.822	21.295	96822
-78.870	38.418	22801
-86.291	32.377	36104
-112.271	40.605	84074
-87.726	42.005	60712
-84.299	44.887	49756
-121.956	37.234	95032
-85.157	34.896	30736
-74.190	40.591	10314
-72.925	41.299	6515
-99.324	34.649	73521
-118.431	34.291	91340
-90.222	29.991	70003
-122.205	47.769	98011
-91.777	45.401	54822
-85.437	38.388	40010
-94.992	33.176	75456
-87.904	42.965	53207
-75.012	39.932	8002
-75.427	40.023	19333
-82.177	30.037	32091
-101.292	47.827	58759
-93.918	35.307	72928
-83.771	31.168	31768
-96.225	33.067	75135
-122.009	39.207	95932
-79.947	32.794	29403
-88.343	41.682	60543
-106.271	45.595	59003
-102.133	32.010	79707
-119.295	35.484	93263
-117.178	32.684	92118
-82.897	32.528	31021
-80.897	35.255	28208
-96.945	35.259	74873
-147.723	64.836	99701
-83.161	40.106	43016
-87.754	41.931	60639
-80.741	32.386	29906
-111.215	47.509	59403
-73.814	41.320	10598
